Date;Open*;High;Low;Close**;Volume;Market Cap
03/11/2014;0,577925;0,59926;0,551178;0,576323;40900;2541950
04/11/2014;0,575828;0,582737;0,545748;0,547635;42253;2543340
05/11/2014;0,547942;0,584644;0,547942;0,571982;25458;2430850
06/11/2014;0,570834;0,597075;0,556807;0,595903;28528;2540200
07/11/2014;0,590278;0,619485;0,578323;0,616295;29987;2626730
08/11/2014;0,619835;0,658196;0,593668;0,643877;40713;2785880
09/11/2014;0,643598;0,721369;0,634068;0,721369;44247;2903700
10/11/2014;0,71667;0,762476;0,69292;0,735697;67836;3246790
11/11/2014;0,734491;0,746636;0,691961;0,717955;30147;3341990
12/11/2014;0,718542;0,763825;0,695158;0,73232;75047;3282510
13/11/2014;0,735674;0,773504;0,665388;0,70453;41143;3374860
14/11/2014;0,700665;0,701875;0,643252;0,689225;65338;3227210
15/11/2014;0,692307;0,705406;0,625895;0,641145;31336;3202520
16/11/2014;0,638882;0,657677;0,626272;0,654531;27107;2967190
17/11/2014;0,651929;0,676593;0,556251;0,58478;152764;3039770
18/11/2014;0,586133;0,603339;0,526158;0,599073;49912;2744180
19/11/2014;0,596995;0,602582;0,554352;0,559003;25761;2806170
20/11/2014;0,558639;0,569225;0,514469;0,525171;23232;2636230
21/11/2014;0,516995;0,56325;0,500091;0,53249;34458;2449300
22/11/2014;0,533662;0,557867;0,525431;0,534829;26877;2538420
23/11/2014;0,535661;0,542355;0,515386;0,526897;31247;2557650
24/11/2014;0,52605;0,553483;0,525883;0,53174;29694;2521740
25/11/2014;0,531602;0,640426;0,53089;0,595471;84303;2558050
26/11/2014;0,58257;0,624192;0,551515;0,562741;29237;2814430
27/11/2014;0,560613;0,569668;0,553501;0,55754;10861;2718540
28/11/2014;0,557097;0,575006;0,534664;0,564761;17670;2711830
29/11/2014;0,56432;0,586719;0,559993;0,565711;17081;2757520
30/11/2014;0,571386;0,580775;0,562884;0,567552;14933;2795300
01/12/2014;0,567864;0,577934;0,470041;0,4745;78718;2778070
02/12/2014;0,473696;0,552778;0,469477;0,527409;21322;2340440
03/12/2014;0,528122;0,528122;0,48467;0,507566;26153;2619290
04/12/2014;0,508874;0,517186;0,453813;0,456468;18052;2533220
05/12/2014;0,455063;0,480443;0,407362;0,428893;45855;2273710
06/12/2014;0,427467;0,44894;0,422849;0,443703;18704;2143880
07/12/2014;0,443451;0,480663;0,443451;0,470556;21888;2232200
08/12/2014;0,470613;0,497378;0,443479;0,448344;36453;2377730
09/12/2014;0,448309;0,449525;0,38046;0,389608;28887;2267930
10/12/2014;0,391179;0,419919;0,368985;0,389659;18125;1978920
11/12/2014;0,38738;0,407224;0,376755;0,398488;22967;1959700
12/12/2014;0,393799;0,397863;0,372755;0,375733;16404;1992170
13/12/2014;0,375526;0,384706;0,368599;0,375961;17428;1899730
14/12/2014;0,375254;0,411324;0,370846;0,383506;13827;1898350
15/12/2014;0,386838;0,406343;0,377044;0,382897;23998;1956960
16/12/2014;0,383263;0,391983;0,334445;0,337857;41022;1938870
17/12/2014;0,347026;0,349178;0,299859;0,338319;33392;1755550
18/12/2014;0,338177;0,35262;0,304904;0,316383;17760;1710790
19/12/2014;0,316167;0,344685;0,304235;0,319859;16495;1599440
20/12/2014;0,319682;0,341609;0,312549;0,339099;12708;1684180
21/12/2014;0,338958;0,356308;0,320784;0,343806;24432;1791620
22/12/2014;0,343896;0,361704;0,330488;0,344799;19493;1823950
23/12/2014;0,345175;0,381363;0,334889;0,381093;25039;1836840
24/12/2014;0,383242;0,458137;0,378322;0,425367;64963;2046480
25/12/2014;0,422909;0,455604;0,399465;0,452427;53937;2265570
26/12/2014;0,456171;0,458636;0,428161;0,4337;35090;2451960
27/12/2014;0,432913;0,537681;0,4099;0,510573;98086;2330360
28/12/2014;0,509646;0,611029;0,482193;0,563872;117333;2757730
29/12/2014;0,564681;0,572393;0,487799;0,487799;72362;3065720
30/12/2014;0,490338;0,530357;0,456339;0,489046;57426;2670650
31/12/2014;0,486608;0,488417;0,424435;0,43466;37598;2659040
01/01/2015;0,436241;0,4673;0,419361;0,46576;25000;2391490
02/01/2015;0,473272;0,488038;0,434144;0,459137;34884;2602560
03/01/2015;0,459173;0,490255;0,451601;0,461172;42366;2525370
