Date;Open*;High;Low;Close**;Volume;Market Cap
25/05/2014;12,06;15,15;11,85;15,13;3625030;52126000
26/05/2014;15,02;15,18;8,4;11,29;260919;64986200
27/05/2014;11,27;12,07;8,31;10,57;3730600;48786600
28/05/2014;10,59;10,68;6,94;7,21;3909160;45895300
29/05/2014;7,16;9,94;6,13;9,38;6110000;31060800
30/05/2014;9,38;11,97;8,41;11,05;5769570;40678700
31/05/2014;11,09;12,5;10,99;11,33;2675190;48142000
01/06/2014;11,24;13,75;11,19;12,93;3460750;48841800
02/06/2014;12,92;16;12,73;14,48;4918700;56183900
03/06/2014;14,52;14,67;12,81;13,9;3096930;63173000
04/06/2014;13,83;13,89;12,03;12,5;1454730;60216600
05/06/2014;12,46;12,62;10,61;10,61;1336970;54275500
06/06/2014;10,61;12,1;10,15;11,77;1613890;46236900
07/06/2014;11,8;11,8;10,38;10,38;506101;51452900
08/06/2014;10,42;11;8,75;9,5;1585220;45474400
09/06/2014;9,5;9,82;8,68;9,54;1311350;41476200
10/06/2014;9,56;11,84;9,42;11,65;1541710;41793000
11/06/2014;11,65;11,65;10,27;10,27;724358;50928300
12/06/2014;10,38;11,35;10,02;10,18;895885;45377400
13/06/2014;10,16;10,89;10,16;10,64;426354;44453800
14/06/2014;10,68;10,68;9,78;10,24;514834;46763800
15/06/2014;10,24;10,35;9,54;10,35;274260;44895900
16/06/2014;10,23;10,44;10,09;10,13;427550;44871400
17/06/2014;10,12;10,45;10,04;10,22;305768;44424600
18/06/2014;10,29;10,52;9,91;10,22;475249;45190900
19/06/2014;10,22;11,12;10;10,97;589450;44912000
20/06/2014;10,98;12,4;8,92;10,34;4047720;48306500
21/06/2014;10,24;10,24;8,91;9,29;1003310;45082300
22/06/2014;9,3;9,95;9,27;9,46;287288;40952800
23/06/2014;9,45;10,03;9,45;9,8;345384;41650300
24/06/2014;9,8;9,9;9,44;9,44;327520;43214300
25/06/2014;9,42;9,53;8,99;8,99;243528;41587200
26/06/2014;8,97;10,63;8,97;10;942175;39622400
27/06/2014;10,07;10,25;9,84;10,09;362067;44475800
28/06/2014;9,84;9,86;9,34;9,53;287441;43494000
29/06/2014;9,51;9,73;9,12;9,23;262898;42086500
30/06/2014;9,19;9,44;8,28;8,93;1216120;40669900
01/07/2014;8,93;9,13;7,82;7,9;689084;39564800
02/07/2014;7,97;8,3;6,14;6,99;1070360;35317900
03/07/2014;7;8,37;6,19;7,82;946899;31051700
04/07/2014;7,77;8,05;7,56;7,56;250875;34491300
05/07/2014;7,5;7,54;6,48;7,12;414546;33295300
06/07/2014;7,13;7,33;6,02;6,66;349136;31701100
07/07/2014;6,67;6,87;6,16;6,53;237262;29664700
08/07/2014;6,98;7,64;6,82;7,17;578868;31048700
09/07/2014;7,17;7,41;7,09;7,1;255938;31920700
10/07/2014;7,11;7,15;6,36;6,79;299842;31652000
11/07/2014;6,77;6,98;6,48;6,52;354126;30178400
12/07/2014;6,57;6,7;6,45;6,54;136625;29318500
13/07/2014;6,54;6,65;6,33;6,35;189565;29207800
14/07/2014;6,36;6,44;6,04;6,2;255024;28401500
15/07/2014;6,18;6,46;5,67;6,3;388889;27620600
16/07/2014;6,32;6,5;5,75;6,35;351827;28261700
17/07/2014;6,38;7,78;6,25;7,44;699285;28560700
18/07/2014;7,42;7,9;6,95;7,21;729493;33232100
19/07/2014;7,21;7,23;7;7,06;99443;32320400
20/07/2014;7,06;7,26;6,96;7,11;137239;31670100
21/07/2014;7,11;7,15;6,69;6,77;121175;31914400
22/07/2014;6,76;6,76;6,26;6,41;183517;30373400
23/07/2014;6,4;6,69;6,35;6,37;134307;28768400
24/07/2014;6,37;6,49;6,13;6,18;167948;28622700
25/07/2014;6,18;6,22;6,02;6,07;234015;27805400
26/07/2014;6,08;6,08;5,77;5,97;175004;27359100
27/07/2014;5,97;5,97;5,71;5,83;175722;26902000
28/07/2014;5,83;5,87;5,17;5,17;405543;26303900
29/07/2014;5,19;5,28;4,68;4,79;294949;23416800
30/07/2014;4,8;4,94;4,3;4,45;329136;21674000
31/07/2014;4,46;5,61;4,39;5,57;387401;20134700
01/08/2014;5,55;5,81;5,22;5,64;252698;25079000
02/08/2014;5,63;6;5,62;5,71;185190;25475400
03/08/2014;5,7;6,13;5,58;5,8;280722;25819300
04/08/2014;5,82;5,82;5,3;5,31;179607;26380600
05/08/2014;5,31;5,47;5,2;5,41;107685;24053200
06/08/2014;5,39;5,89;5,39;5,77;211361;24444200
07/08/2014;5,77;5,84;5,49;5,65;140303;26184200
08/08/2014;5,66;6,05;5,65;5,99;269415;25676800
09/08/2014;6,03;6,04;5,53;5,59;235890;27396600
10/08/2014;5,6;5,86;5,39;5,72;218033;25451100
11/08/2014;5,72;5,74;5,05;5,08;223309;26027300
12/08/2014;5,07;5,15;4,91;5,02;94300;23097300
13/08/2014;5,02;5,09;4,34;4,86;287212;22864000
14/08/2014;4,87;4,91;3,87;4,06;197663;22211800
15/08/2014;4,09;4,41;3,41;3,64;276892;18640900
16/08/2014;3,64;3,64;2,92;2,92;296592;16619900
17/08/2014;2,94;3,04;2,2;2,36;370021;13439000
18/08/2014;2,36;2,49;1,37;1,54;699964;10783300
19/08/2014;1,55;3,32;1,44;3,32;674022;7077960
20/08/2014;3,36;3,91;3,18;3,81;722557;15377700
21/08/2014;3,8;3,89;3,37;3,38;241925;17412100
22/08/2014;3,37;3,42;2,81;3,17;286798;15430600
23/08/2014;3,17;3,31;2,98;2,99;132039;14503600
24/08/2014;2,99;3,13;2,98;3,09;64140;13697900
25/08/2014;3,09;3,09;2,67;2,68;133764;14164300
26/08/2014;2,69;2,88;2,57;2,72;157503;12326200
27/08/2014;2,72;2,72;2,18;2,29;328963;12514400
28/08/2014;2,29;2,55;2,15;2,37;158460;10516400
29/08/2014;2,38;2,59;2,36;2,55;148519;10944500
30/08/2014;2,55;2,6;2,35;2,43;85691;11735400
31/08/2014;2,44;2,47;2,22;2,41;112735;11238900
01/09/2014;2,4;2,42;2,27;2,27;73377;11072200
02/09/2014;2,27;2,36;2,26;2,32;52918;10450100
03/09/2014;2,32;2,78;2,3;2,64;173985;10716400
04/09/2014;2,66;3,4;2,6;3,08;393252;12295500
05/09/2014;3,09;3,09;2,68;2,84;241196;14256300
06/09/2014;2,84;3,21;2,79;2,98;221277;13110700
07/09/2014;2,98;3,09;2,9;2,9;70704;13777400
08/09/2014;2,9;2,95;2,74;2,78;89576;13432500
09/09/2014;2,78;2,93;2,73;2,91;58552;12872700
10/09/2014;2,91;2,95;2,82;2,82;61808;13508300
11/09/2014;2,82;2,87;2,77;2,8;39876;13101500
12/09/2014;2,81;2,85;2,73;2,85;64957;13041200
13/09/2014;2,85;2,89;2,77;2,87;85324;13233400
14/09/2014;2,88;2,91;2,77;2,8;93526;13379600
15/09/2014;2,8;3,37;2,77;3,07;288266;13008200
